"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2021",15.46888,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2021",14.060361,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2021",18.473303,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2021",6.9325643,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2021",5.5797949,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2021",17.887573,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2021",11.083303,
"FRA","EDUADULT","BUPPSRY","PC_25_64","A","2021",17.760235,
"DEU","EDUADULT","BUPPSRY","PC_25_64","A","2021",14.672102,
"GRC","EDUADULT","BUPPSRY","PC_25_64","A","2021",21.812767,
"HUN","EDUADULT","BUPPSRY","PC_25_64","A","2021",13.719394,
"ISL","EDUADULT","BUPPSRY","PC_25_64","A","2021",21.429537,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2021",12.765348,
"ITA","EDUADULT","BUPPSRY","PC_25_64","A","2021",37.293571,
"KOR","EDUADULT","BUPPSRY","PC_25_64","A","2021",9.6675959,
"LUX","EDUADULT","BUPPSRY","PC_25_64","A","2021",19.698715,
"MEX","EDUADULT","BUPPSRY","PC_25_64","A","2021",57.190308,
"NLD","EDUADULT","BUPPSRY","PC_25_64","A","2021",19.437679,
"NZL","EDUADULT","BUPPSRY","PC_25_64","A","2021",19.431931,
"NOR","EDUADULT","BUPPSRY","PC_25_64","A","2021",17.57239,
"POL","EDUADULT","BUPPSRY","PC_25_64","A","2021",6.7923322,
"PRT","EDUADULT","BUPPSRY","PC_25_64","A","2021",40.549065,
"SVK","EDUADULT","BUPPSRY","PC_25_64","A","2021",6.8340263,
"ESP","EDUADULT","BUPPSRY","PC_25_64","A","2021",36.083153,
"SWE","EDUADULT","BUPPSRY","PC_25_64","A","2021",15.142161,
"CHE","EDUADULT","BUPPSRY","PC_25_64","A","2021",12.57438,
"TUR","EDUADULT","BUPPSRY","PC_25_64","A","2021",55.102688,
"GBR","EDUADULT","BUPPSRY","PC_25_64","A","2021",18.294903,
"USA","EDUADULT","BUPPSRY","PC_25_64","A","2021",8.2938099,
"COL","EDUADULT","BUPPSRY","PC_25_64","A","2021",39.789829,
"EST","EDUADULT","BUPPSRY","PC_25_64","A","2021",10.475689,
"ISR","EDUADULT","BUPPSRY","PC_25_64","A","2021",12.055555,
"LVA","EDUADULT","BUPPSRY","PC_25_64","A","2021",10.605479,
"SVN","EDUADULT","BUPPSRY","PC_25_64","A","2021",8.69,
"OAVG","EDUADULT","BUPPSRY","PC_25_64","A","2021",19.925746,
"LTU","EDUADULT","BUPPSRY","PC_25_64","A","2021",6.7329736,
"CRI","EDUADULT","BUPPSRY","PC_25_64","A","2021",57.373444,
